Feedstock,Feedstock_flow
Benzene,7.496106930803999
Butadiene,1.456101837416595
Butylene,0.560317511413
Carbon dioxide,8.10770846268
Ethanol,0.0
Ethylene,18.713132325425
Food waste,28.360815150917
Fossil fuels,130.61321118438693
Herbaceous biomass,174.499406882908
Lactic acid,0.0
Methane,18.3360345932254
Methanol,9.904297532660001
Polyethylene terephthalate,0.0
Polyolefins,0.0
Polystyrene,0.0
Propylene,5.065125194643998
Toluene,0.185129744492
Woody biomass,7.480800202110011
Xylenes,5.741034968445
